"Date","Prefecture","NewlyConfirmedCases","NumberOfDeaths","SevereCases"
2020-02-01,"Miyazaki",0,NA,NA
2020-02-01,"Nagano",0,NA,NA
2020-02-01,"Nagasaki",0,NA,NA
2020-02-01,"Nara",0,NA,NA
2020-02-01,"Niigata",0,NA,NA
2020-02-01,"Oita",0,NA,NA
2020-02-01,"Okayama",0,NA,NA
2020-02-01,"Okinawa",0,NA,NA
2020-02-01,"Osaka",0,NA,NA
2020-02-01,"Saga",0,NA,NA
2020-02-01,"Saitama",0,NA,NA
2020-02-01,"Shiga",0,NA,NA
2020-02-01,"Shimane",0,NA,NA
2020-02-01,"Shizuoka",0,NA,NA
2020-02-01,"Tochigi",0,NA,NA
2020-02-01,"Tokushima",0,NA,NA
2020-02-01,"Tokyo",0,NA,NA
2020-02-01,"Tottori",0,NA,NA
2020-02-01,"Toyama",0,NA,NA
2020-02-01,"Wakayama",0,NA,NA
2020-02-01,"Yamagata",0,NA,NA
2020-02-01,"Yamaguchi",0,NA,NA
2020-02-01,"Yamanashi",0,NA,NA
2020-02-02,"Aichi",0,NA,NA
2020-02-02,"Akita",0,NA,NA
2020-02-02,"Aomori",0,NA,NA
2020-02-02,"Chiba",0,NA,NA
2020-02-02,"Ehime",0,NA,NA
2020-02-02,"Fukui",0,NA,NA
2020-02-02,"Fukuoka",0,NA,NA
2020-02-02,"Fukushima",0,NA,NA
2020-02-02,"Gifu",0,NA,NA
2020-02-02,"Gunma",0,NA,NA
2020-02-02,"Hiroshima",0,NA,NA
2020-02-02,"Hokkaido",0,NA,NA
2020-02-02,"Hyogo",0,NA,NA
2020-02-02,"Ibaraki",0,NA,NA
2020-02-02,"Ishikawa",0,NA,NA
2020-02-02,"Iwate",0,NA,NA
2020-02-02,"Kagawa",0,NA,NA
2020-02-02,"Kagoshima",0,NA,NA
2020-02-02,"Kanagawa",0,NA,NA
2020-02-02,"Kochi",0,NA,NA
2020-02-02,"Kumamoto",0,NA,NA
2020-02-02,"Kyoto",0,NA,NA
2020-02-02,"Mie",0,NA,NA
2020-02-02,"Miyagi",0,NA,NA
2020-02-02,"Miyazaki",0,NA,NA
2020-02-02,"Nagano",0,NA,NA
2020-02-02,"Nagasaki",0,NA,NA
2020-02-02,"Nara",0,NA,NA
2020-02-02,"Niigata",0,NA,NA
2020-02-02,"Oita",0,NA,NA
2020-02-02,"Okayama",0,NA,NA
2020-02-02,"Okinawa",0,NA,NA
2020-02-02,"Osaka",0,NA,NA
2020-02-02,"Saga",0,NA,NA
2020-02-02,"Saitama",0,NA,NA
2020-02-02,"Shiga",0,NA,NA
2020-02-02,"Shimane",0,NA,NA
2020-02-02,"Shizuoka",0,NA,NA
2020-02-02,"Tochigi",0,NA,NA
2020-02-02,"Tokushima",0,NA,NA
2020-02-02,"Tokyo",0,NA,NA
2020-02-02,"Tottori",0,NA,NA
2020-02-02,"Toyama",0,NA,NA
2020-02-02,"Wakayama",0,NA,NA
2020-02-02,"Yamagata",0,NA,NA
2020-02-02,"Yamaguchi",0,NA,NA
2020-02-02,"Yamanashi",0,NA,NA
2020-02-03,"Aichi",0,NA,NA
2020-02-03,"Akita",0,NA,NA
2020-02-03,"Aomori",0,NA,NA
2020-02-03,"Chiba",0,NA,NA
2020-02-03,"Ehime",0,NA,NA
2020-02-03,"Fukui",0,NA,NA
2020-02-03,"Fukuoka",0,NA,NA
2020-02-03,"Fukushima",0,NA,NA
2020-02-03,"Gifu",0,NA,NA
2020-02-03,"Gunma",0,NA,NA
2020-02-03,"Hiroshima",0,NA,NA
2020-02-03,"Hokkaido",0,NA,NA
2020-02-03,"Hyogo",0,NA,NA
2020-02-03,"Ibaraki",0,NA,NA
2020-02-03,"Ishikawa",0,NA,NA
2020-02-03,"Iwate",0,NA,NA
2020-02-03,"Kagawa",0,NA,NA
2020-02-03,"Kagoshima",0,NA,NA
2020-02-03,"Kanagawa",0,NA,NA
2020-02-03,"Kochi",0,NA,NA
